"","Day's High Price","Day's Close Price","Price Sold at based on Daily Trade Strategy","Total Capital value using Daily Trade Strategy","Total Capital value using Hold Strategy","NA"
"701",22.75,21.52,0.352889280988082,21.52,595.22435561273,511.77171252727
"700",21.98,21.870001,1.75925925925925,21.870001,602.664687614573,520.095161001074
"699",23.370001,23.290001,6.27558435652571,23.3094,638.824568871447,553.864484039583
"698",23.24,22.59,0.955690703735877,22.59,626.891703336489,537.217610873189
"697",23.24,22.860001,1.17545063889642,22.860001,623.889664303592,543.638562274401
"696",21.98,20.790001,0.918269012017025,20.790001,595.531044500932,494.411450521081
"695",21.209999,20.280001,0.0471603751339422,20.280001,569.687245675599,482.283031683306
"694",20.780001,20.620001,3.12655583126553,20.620001,582.975264293702,490.368644241823
"693",21,20.32,0.0476417341591308,20.32,564.36671607661,483.234256438389
"692",21.950001,21.66,6.70880408361692,21.8042,598.228719041206,515.101082404306
"691",22.59,21.99,2.30978260869566,21.99,595.790286762506,522.948882828749
"690",22.49,22.27,1.85688405797102,22.27,600.917105353306,529.607622582821
"689",22.49,21.83,0.852022459731943,21.83,588.252062695728,519.143888683564
"688",22.4,21.950001,0.358422939068093,21.950001,578.500598764484,521.997658073666
"687",21.629999,20.91,0.651461144718472,20.91,562.887274088663,497.265172348756
"686",20.75,20.4,1.71568627450981,20.4,562.887274088663,485.136753510981
"685",20.549999,20.23,0.784698420044063,20.23,558.470334148308,481.093947231723
"684",19.940001,19.639999,0.0501806322127576,19.639999,550.3440443654,467.063007540143
"683",19.959999,19.75,0.402414507163717,19.75,546.745242603717,469.67896479617
"682",19.799999,19.52,0.253159493670884,19.52,540.378082816433,464.209285712468
"681",19.879999,19.52,1.0162550813008,19.52,535.984765069958,464.209285712468
"680",19.690001,19.48,0.0508180894309075,19.48,530.537765424938,463.258037176172
"679",20.48,19.879999,5.02564102564103,19.879999,540.876422877436,472.770498757919
"678",19.790001,18.98,0.456852768687676,18.98,521.108324117026,451.367430472472
"677",19.059999,19,0.315784210526304,19,521.108324117026,451.84305474062
"676",19.43,19.32,1.19791139594211,19.32,524.365223832069,459.453043030988
"675",19.799999,19.5,2.85713766233766,19.5,531.175161803914,463.73366144432
"674",24.25,23.23,0.497310422598866,23.23,511.363428100636,552.437587453926
"673",23.309999,22.559999,0.08586517450127,22.559999,495.335248228925,536.504150689754
"672",22.879999,21.940001,2.14285267857143,21.940001,485.163207208834,521.759845939592
"671",21.5,21.110001,3.26609029779058,21.110001,491.921027345902,502.021438811449
"670",21.440001,21.209999,1.70778462998104,21.209999,494.954672584704,504.399512589762
"669",21.690001,21.18,2.02258231420508,21.18,493.092190279588,503.686099968754
"668",21.48,21.25,1.80094786729857,21.25,496.597584997215,505.350784907272
"667",21.370001,21.17,0.612057438794744,21.17,494.96096395438,503.44828783468
"666",20.950001,20.469999,0.479621103117501,20.469999,485.940068929746,486.801414668286
"665",20.73,19.99,1.0233918128655,19.99,473.388985278052,475.386456013947
"664",20,19.209999,0.200405821663619,19.209999,455.601322114414,456.83708577496
"663",20.17,20.07,5.32637075718017,20.07,477.48921852931,477.288953086539
"662",20.110001,19.860001,2.54971940083022,19.860001,483.576536150168,472.294922052198
"661",22.5,22.360001,11.9402985074627,21.306,512.591128319178,531.7479555707
"660",22.5,22.17,0.71620411817368,22.17,508.690479625612,527.229501242081
"659",23.93,23.559999,7.55056179775281,23.585,539.211908403149,560.285364097155
"658",24.120001,22.92,0.667788007837572,22.92,515.807072471087,545.065411297632
"657",23.9,23.1,5.1473823141223,23.1,524.203404051127,549.346029710964
"656",24.530001,24.32,5.64169705605932,24.32,549.03649162618,578.359110067993
"655",24.68,24,0.406834825061031,24,536.081196054854,570.749121777625
"654",26.09,25.940001,4.61106236523406,25.940001,557.57603064026,616.884699569196
"653",26.5,26.15,1.76650914875157,26.15,559.931361033465,621.878730603537
"652",26.49,26.360001,2.12027362682059,26.360001,568.997327208025,626.872809200305
"651",27.52,27.32,3.84905660377358,27.32,586.604036955594,649.702750290196
"650",28,28,2.71460014673514,28,602.527991003545,665.873975407229
